mu,m_neg_4,m_neg_3,m_neg_2,m_neg_1,m_0,m_1,m_2,m_3,m_4
0,3.6614885212036,2.6614885212036,1.6614885212036,0.661488521203604,0,1.3385114787964,2.3385114787964,3.3385114787964,4.3385114787964
0.00417362270450751,3.66145304642472,2.66145304642472,1.66145304642472,0.661453046424724,0,1.33854695357528,2.33854695357528,3.33854695357528,4.33854695357528
0.00834724540901502,3.66134767086413,2.66134767086413,1.66134767086413,0.661347670864127,0,1.33865232913587,2.33865232913587,3.33865232913587,4.33865232913587
0.0125208681135225,3.66117197246341,2.66117197246341,1.66117197246341,0.661171972463414,0,1.33882802753659,2.33882802753659,3.33882802753659,4.33882802753659
0.01669449081803,3.66092583225465,2.66092583225465,1.66092583225465,0.660925832254652,0,1.33907416774535,2.33907416774535,3.33907416774535,4.33907416774535
0.0208681135225376,3.66060903885399,2.66060903885399,1.66060903885399,0.660609038853986,0,1.33939096114601,2.33939096114601,3.33939096114601,4.33939096114601
0.0250417362270451,3.6602212770037,2.6602212770037,1.6602212770037,0.660221277003697,0,1.3397787229963,2.3397787229963,3.3397787229963,4.3397787229963
0.0292153589315526,3.65976246259106,2.65976246259106,1.65976246259106,0.659762462591058,0,1.34023753740894,2.34023753740894,3.34023753740894,4.34023753740894
0.0333889816360601,3.65923229015016,2.65923229015016,1.65923229015016,0.659232290150157,0,1.34076770984984,2.34076770984984,3.34076770984984,4.34076770984984
0.0375626043405676,3.6586304015107,2.6586304015107,1.6586304015107,0.658630401510704,0,1.3413695984893,2.3413695984893,3.3413695984893,4.3413695984893
0.0417362270450751,3.65795638241039,2.65795638241039,1.65795638241039,0.65795638241039,0,1.34204361758961,2.34204361758961,3.34204361758961,4.34204361758961
0.0459098497495826,3.65720975859135,2.65720975859135,1.65720975859135,0.657209758591351,0,1.34279024140865,2.34279024140865,3.34279024140865,4.34279024140865
0.0500834724540902,3.65638999131603,2.65638999131603,1.65638999131603,0.656389991316034,0,1.34361000868397,2.34361000868397,3.34361000868397,4.34361000868397
0.0542570951585977,3.65549647223071,2.65549647223071,1.65549647223071,0.655496472230714,0,1.34450352776929,2.34450352776929,3.34450352776929,4.34450352776929
0.0584307178631052,3.6545285174946,2.6545285174946,1.6545285174946,0.654528517494595,0,1.3454714825054,2.3454714825054,3.3454714825054,4.3454714825054
0.0626043405676127,3.65348536107892,2.65348536107892,1.65348536107892,0.65348536107892,0,1.34651463892108,2.34651463892108,3.34651463892108,4.34651463892108
0.0667779632721202,3.6523660935362,2.6523660935362,1.6523660935362,0.652366093536198,0,1.3476339064638,2.3476339064638,3.3476339064638,4.3476339064638
0.0709515859766277,3.65116975432868,2.65116975432868,1.65116975432868,0.651169754328683,0,1.34883024567132,2.34883024567132,3.34883024567132,4.34883024567132
0.0751252086811352,3.64989279373406,2.64989279373406,1.64989279373406,0.649892793734059,0,1.35010720626594,2.35010720626594,3.35010720626594,4.35010720626594
0.0792988313856427,3.64853843959603,2.64853843959603,1.64853843959603,0.64853843959603,0,1.35146156040397,2.35146156040397,3.35146156040397,4.35146156040397
0.0834724540901502,3.64710424182753,2.64710424182753,1.64710424182753,0.647104241827533,0,1.35289575817247,2.35289575817247,3.35289575817247,4.35289575817247
0.0876460767946578,3.64558815847053,2.64558815847053,1.64558815847053,0.645588158470532,0,1.35441184152947,2.35441184152947,3.35441184152947,4.35441184152947
0.0918196994991653,3.64398845016494,2.64398845016494,1.64398845016494,0.643988450164938,0,1.35601154983506,2.35601154983506,3.35601154983506,4.35601154983506
0.0959933222036728,3.6423061977685,2.6423061977685,1.6423061977685,0.6423061977685,0,1.3576938022315,2.3576938022315,3.3576938022315,4.3576938022315
0.10016694490818,3.64053336782717,2.64053336782717,1.64053336782717,0.640533367827175,0,1.35946663217283,2.35946663217283,3.35946663217283,4.35946663217283
0.104340567612688,3.63867077301767,2.63867077301767,1.63867077301767,0.638670773017667,0,1.36132922698233,2.36132922698233,3.36132922698233,4.36132922698233
0.108514190317195,3.6367119583854,2.6367119583854,1.6367119583854,0.636711958385396,0,1.3632880416146,2.3632880416146,3.3632880416146,4.3632880416146
0.112687813021703,3.63466137609866,2.63466137609866,1.63466137609866,0.634661376098656,0,1.36533862390134,2.36533862390134,3.36533862390134,4.36533862390134
0.11686143572621,3.63251264454626,2.63251264454626,1.63251264454626,0.632512644546261,0,1.36748735545374,2.36748735545374,3.36748735545374,4.36748735545374
0.121035058430718,3.63026216231273,2.63026216231273,1.63026216231273,0.630262162312732,0,1.36973783768727,2.36973783768727,3.36973783768727,4.36973783768727
0.125208681135225,3.62790574666835,2.62790574666835,1.62790574666835,0.627905746668352,0,1.37209425333165,2.37209425333165,3.37209425333165,4.37209425333165
0.129382303839733,3.62543894150519,2.62543894150519,1.62543894150519,0.625438941505189,0,1.37456105849481,2.37456105849481,3.37456105849481,4.37456105849481
0.13355592654424,3.62285660545618,2.62285660545618,1.62285660545618,0.622856605456177,0,1.37714339454382,2.37714339454382,3.37714339454382,4.37714339454382
0.137729549248748,3.62015276356813,2.62015276356813,1.62015276356813,0.620152763568126,0,1.37984723643187,2.37984723643187,3.37984723643187,4.37984723643187
0.141903171953255,3.6173205401164,2.6173205401164,1.6173205401164,0.617320540116396,0,1.3826794598836,2.3826794598836,3.3826794598836,4.3826794598836
0.146076794657763,3.6143519793284,2.6143519793284,1.6143519793284,0.6143519793284,0,1.3856480206716,2.3856480206716,3.3856480206716,4.3856480206716
0.15025041736227,3.61123781037781,2.61123781037781,1.61123781037781,0.611237810377811,0,1.38876218962219,2.38876218962219,3.38876218962219,4.38876218962219
0.154424040066778,3.6079671425775,2.6079671425775,1.6079671425775,0.607967142577503,0,1.3920328574225,2.3920328574225,3.3920328574225,4.3920328574225
0.158597662771285,3.60452706348107,2.60452706348107,1.60452706348107,0.604527063481069,0,1.39547293651893,2.39547293651893,3.39547293651893,4.39547293651893
0.162771285475793,3.60090209904002,2.60090209904002,1.60090209904002,0.600902099040024,0,1.39909790095998,2.39909790095998,3.39909790095998,4.39909790095998
0.1669449081803,3.59707347295666,2.59707347295666,1.59707347295666,0.597073472956658,0,1.40292652704334,2.40292652704334,3.40292652704334,4.40292652704334
0.171118530884808,3.59301806541969,2.59301806541969,1.59301806541969,0.593018065419694,0,1.40698193458031,2.40698193458031,3.40698193458031,4.40698193458031
0.175292153589316,3.58870690684658,2.58870690684658,1.58870690684658,0.588706906846577,0,1.41129309315342,2.41129309315342,3.41129309315342,4.41129309315342
