mu,m_neg_3,m_neg_2,m_neg_1,m_0,m_1,m_2,m_3
0,2.79999889815087,1.79999889815087,0.799998898150867,0,1.20000110184913,2.20000110184913,3.20000110184913
0.00333889816360601,2.7999932476247,1.7999932476247,0.799993247624702,0,1.2000067523753,2.2000067523753,3.2000067523753
0.00667779632721202,2.79997616395304,1.79997616395304,0.799976163953037,0,1.20002383604696,2.20002383604696,3.20002383604696
0.010016694490818,2.79994765350175,1.79994765350175,0.799947653501752,0,1.20005234649825,2.20005234649825,3.20005234649825
0.013355592654424,2.79990772091655,1.79990772091655,0.799907720916546,0,1.20009227908345,2.20009227908345,3.20009227908345
0.01669449081803,2.79985637617315,1.79985637617315,0.799856376173145,0,1.20014362382685,2.20014362382685,3.20014362382685
0.0200333889816361,2.79979363216693,1.79979363216694,0.799793632166935,0,1.20020636783306,2.20020636783307,3.20020636783307
0.0233722871452421,2.79971950469095,1.79971950469095,0.799719504690946,0,1.20028049530905,2.20028049530905,3.20028049530905
0.0267111853088481,2.79963401240938,1.79963401240938,0.79963401240938,0,1.20036598759062,2.20036598759062,3.20036598759062
0.0300500834724541,2.79953717682612,1.79953717682612,0.799537176826121,0,1.20046282317388,2.20046282317388,3.20046282317388
0.0333889816360601,2.79942902224748,1.79942902224748,0.799429022247485,0,1.20057097775252,2.20057097775252,3.20057097775252
0.0367278797996661,2.79930957573828,1.79930957573828,0.799309575738283,0,1.20069042426172,2.20069042426172,3.20069042426172
0.0400667779632721,2.7991788917588,1.7991788917588,0.799178891758797,0,1.2008211082412,2.2008211082412,3.2008211082412
0.0434056761268781,2.79903697857533,1.79903697857533,0.79903697857533,0,1.20096302142467,2.20096302142467,3.20096302142467
0.0467445742904841,2.7988839293066,1.7988839293066,0.798883929306596,0,1.2011160706934,2.2011160706934,3.2011160706934
0.0500834724540902,2.79871976929431,1.79871976929431,0.798719769294312,0,1.20128023070569,2.20128023070569,3.20128023070569
0.0534223706176962,2.79854451625986,1.79854451625986,0.798544516259855,0,1.20145548374014,2.20145548374014,3.20145548374014
0.0567612687813022,2.79835821646165,1.79835821646165,0.798358216461648,0,1.20164178353835,2.20164178353835,3.20164178353835
0.0601001669449082,2.79816091821821,1.79816091821821,0.798160918218208,0,1.20183908178179,2.20183908178179,3.20183908178179
0.0634390651085142,2.79795267259997,1.79795267259997,0.797952672599968,0,1.20204732740003,2.20204732740003,3.20204732740003
0.0667779632721202,2.79773353340036,1.79773353340036,0.797733533400365,0,1.20226646659964,2.20226646659964,3.20226646659964
0.0701168614357262,2.79750355162105,1.79750355162105,0.797503551621055,0,1.20249644837895,2.20249644837895,3.20249644837895
0.0734557595993322,2.7972627118451,1.7972627118451,0.797262711845102,0,1.2027372881549,2.2027372881549,3.2027372881549
0.0767946577629382,2.79701108438785,1.79701108438785,0.79701108438785,0,1.20298891561215,2.20298891561215,3.20298891561215
0.0801335559265442,2.7967487851215,1.7967487851215,0.796748785121495,0,1.2032512148785,2.2032512148785,3.2032512148785
0.0834724540901502,2.79647588021904,1.79647588021904,0.796475880219043,0,1.20352411978096,2.20352411978096,3.20352411978096
0.0868113522537563,2.79619243835971,1.79619243835971,0.796192438359708,0,1.20380756164029,2.20380756164029,3.20380756164029
0.0901502504173623,2.79589853069283,1.79589853069283,0.795898530692834,0,1.20410146930717,2.20410146930717,3.20410146930717
0.0934891485809683,2.79559423080113,1.79559423080113,0.795594230801129,0,1.20440576919887,2.20440576919887,3.20440576919887
0.0968280467445743,2.79527961466332,1.79527961466332,0.79527961466332,0,1.20472038533668,2.20472038533668,3.20472038533668
0.10016694490818,2.79495476061629,1.79495476061629,0.794954760616287,0,1.20504523938371,2.20504523938371,3.20504523938371
0.103505843071786,2.79461974931679,1.79461974931679,0.794619749316788,0,1.20538025068321,2.20538025068321,3.20538025068321
0.106844741235392,2.79427457136019,1.79427457136019,0.794274571360193,0,1.20572542863981,2.20572542863981,3.20572542863981
0.110183639398998,2.79391935154638,1.79391935154638,0.793919351546384,0,1.20608064845362,2.20608064845362,3.20608064845362
0.113522537562604,2.79355421304229,1.79355421304229,0.793554213042294,0,1.20644578695771,2.20644578695771,3.20644578695771
0.11686143572621,2.7931792445671,1.7931792445671,0.793179244567104,0,1.2068207554329,2.2068207554329,3.2068207554329
0.120200333889816,2.79279453695122,1.79279453695122,0.792794536951222,0,1.20720546304878,2.20720546304878,3.20720546304878
0.123539232053422,2.79240018309869,1.79240018309869,0.792400183098691,0,1.20759981690131,2.20759981690131,3.20759981690131
0.126878130217028,2.79199627794983,1.79199627794983,0.791996277949828,0,1.20800372205017,2.20800372205017,3.20800372205017
0.130217028380634,2.79158291844417,1.79158291844417,0.791582918444173,0,1.20841708155583,2.20841708155583,3.20841708155583
0.13355592654424,2.79116020348381,1.79116020348381,0.79116020348381,0,1.20883979651619,2.20883979651619,3.20883979651619
0.136894824707846,2.79073380439982,1.79073380439982,0.790733804399815,0,1.20926619560018,2.20926619560018,3.20926619560018
0.140233722871452,2.79029335936775,1.79029335936775,0.79029335936775,0,1.20970664063225,2.20970664063225,3.20970664063225
0.143572621035058,2.78984390975946,1.78984390975946,0.789843909759458,0,1.21015609024054,2.21015609024054,3.21015609024054
0.146911519198664,2.78938556326219,1.78938556326219,0.789385563262195,0,1.21061443673781,2.21061443673781,3.21061443673781
0.15025041736227,2.78891842934426,1.78891842934426,0.788918429344258,0,1.21108157065574,2.21108157065574,3.21108157065574
0.153589315525876,2.78844261922037,1.78844261922037,0.788442619220374,0,1.21155738077963,2.21155738077963,3.21155738077963
0.156928213689482,2.78795824581795,1.78795824581795,0.787958245817945,0,1.21204175418205,2.21204175418205,3.21204175418205
0.160267111853088,2.78746542374423,1.78746542374423,0.787465423744226,0,1.21253457625577,2.21253457625577,3.21253457625577
0.163606010016695,2.78696426925447,1.78696426925447,0.786964269254465,0,1.21303573074553,2.21303573074553,3.21303573074553
0.1669449081803,2.7864549002211,1.7864549002211,0.786454900221103,0,1.2135450997789,2.2135450997789,3.2135450997789
0.170283806343907,2.78593743610406,1.78593743610406,0.785937436104057,0,1.21406256389594,2.21406256389594,3.21406256389594
0.173622704507513,2.78541199792215,1.78541199792215,0.785411997922154,0,1.21458800207785,2.21458800207785,3.21458800207785
0.176961602671119,2.78487870822576,1.78487870822576,0.784878708225765,0,1.21512129177424,2.21512129177424,3.21512129177424
